TIME,GEO,AGE,SEX,Value
1998,Estonie,Total,Total,1393074
1998,France,Total,Total,59934884
1998,Italie,Total,Total,56904379
1998,Chypre,Total,Total,675215
1998,Lituanie,Total,Total,3562261
1998,Malte,Total,Total,376513
1998,Suisse,Total,Total,7096465
1998,Monaco,Total,Total,NaN
1999,Belgique,Total,Total,10213752
1999,Bulgarie,Total,Total,8230371
1999,Estonie,Total,Total,1379237
1999,France,Total,Total,60158533
1999,Italie,Total,Total,56909109
1999,Chypre,Total,Total,682862
1999,Lituanie,Total,Total,3536401
1999,Malte,Total,Total,378518
1999,Suisse,Total,Total,7123537
1999,Monaco,Total,Total,NaN
2000,Belgique,Total,Total,10239085
2000,Bulgarie,Total,Total,8190876
2000,Estonie,Total,Total,1401250
2000,France,Total,Total,60545022
2000,Italie,Total,Total,56923524
2000,Chypre,Total,Total,690497
2000,Lituanie,Total,Total,3512074
2000,Malte,Total,Total,380201
2000,Suisse,Total,Total,7164444
2000,Monaco,Total,Total,NaN
2001,Belgique,Total,Total,10263414
2001,Bulgarie,Total,Total,8149468
2001,Estonie,Total,Total,1392720
2001,France,Total,Total,60979315
2001,Italie,Total,Total,56960692
2001,Chypre,Total,Total,697549
2001,Lituanie,Total,Total,3486998
2001,Malte,Total,Total,391415
2001,Suisse,Total,Total,7204055
2001,Monaco,Total,Total,NaN
2002,Belgique,Total,Total,10309725
2002,Bulgarie,Total,Total,7868815
2002,Estonie,Total,Total,1383510
2002,France,Total,Total,61424036
2002,Italie,Total,Total,56987507
2002,Chypre,Total,Total,705539
2002,Lituanie,Total,Total,3454637
2002,Malte,Total,Total,394641
2002,Suisse,Total,Total,7255653
2002,Monaco,Total,Total,NaN
2003,Belgique,Total,Total,10355844
2003,Bulgarie,Total,Total,7805506
2003,Estonie,Total,Total,1375190
2003,France,Total,Total,61864088
2003,Italie,Total,Total,57130506
2003,Chypre,Total,Total,713720
2003,Lituanie,Total,Total,3431497
2003,Malte,Total,Total,397296
2003,Suisse,Total,Total,7313853
2003,Monaco,Total,Total,NaN
2004,Belgique,Total,Total,10396421
2004,Bulgarie,Total,Total,7745147
2004,Estonie,Total,Total,1366250
2004,France,Total,Total,62292241
2004,Italie,Total,Total,57495900
2004,Chypre,Total,Total,722893
2004,Lituanie,Total,Total,3398929
2004,Malte,Total,Total,399867
2004,Suisse,Total,Total,7364148
2004,Monaco,Total,Total,32828
2005,Belgique,Total,Total,10445852
2005,Bulgarie,Total,Total,7688573
2005,Estonie,Total,Total,1358850
2005,France,Total,Total,62772870
2005,Italie,Total,Total,57874753
2005,Chypre,Total,Total,733067
2005,Lituanie,Total,Total,3355220
2005,Malte,Total,Total,402668
2005,Suisse,Total,Total,7415102
2005,Monaco,Total,Total,33085
2006,Belgique,Total,Total,10511382
2006,Bulgarie,Total,Total,7629371
2006,Estonie,Total,Total,1350700
2006,France,Total,Total,63229635
2006,Italie,Total,Total,58064214
2006,Chypre,Total,Total,744013
2006,Lituanie,Total,Total,3289835
2006,Malte,Total,Total,404999
2006,Suisse,Total,Total,7459128
2006,Monaco,Total,Total,NaN
2007,Belgique,Total,Total,10584534
2007,Bulgarie,Total,Total,7572673
2007,Estonie,Total,Total,1342920
2007,France,Total,Total,63645065
2007,Italie,Total,Total,58223744
2007,Chypre,Total,Total,757916
2007,Lituanie,Total,Total,3249983
2007,Malte,Total,Total,405616
2007,Suisse,Total,Total,7508739
2007,Monaco,Total,Total,NaN
2008,Belgique,Total,Total,10666866
2008,Bulgarie,Total,Total,7518002
2008,Estonie,Total,Total,1338440
2008,France,Total,Total,64007193
2008,Italie,Total,Total,58652875
2008,Chypre,Total,Total,776333
2008,Lituanie,Total,Total,3212605
2008,Malte,Total,Total,407832
2008,Suisse,Total,Total,7593494
2008,Monaco,Total,Total,NaN
2009,Belgique,Total,Total,10753080
2009,Bulgarie,Total,Total,7467119
2009,Estonie,Total,Total,1335740
2009,France,Total,Total,64350226
2009,Italie,Total,Total,59000586
2009,Chypre,Total,Total,796930
2009,Lituanie,Total,Total,3183856
2009,Malte,Total,Total,410926
2009,Suisse,Total,Total,7701856
2009,Monaco,Total,Total,NaN
2010,Belgique,Total,Total,10839905
2010,Bulgarie,Total,Total,7421766
2010,Estonie,Total,Total,1333290
2010,France,Total,Total,64658856
2010,Italie,Total,Total,59190143
2010,Chypre,Total,Total,819140
2010,Lituanie,Total,Total,3141976
2010,Malte,Total,Total,414027
2010,Suisse,Total,Total,7785806
2010,Monaco,Total,Total,NaN
2011,Belgique,Total,Total,11000638
2011,Bulgarie,Total,Total,7369431
2011,Estonie,Total,Total,1329660
2011,France,Total,Total,64978721
2011,Italie,Total,Total,59364690
2011,Chypre,Total,Total,839751
2011,Lituanie,Total,Total,3052588
2011,Malte,Total,Total,414989
2011,Suisse,Total,Total,7870134
2011,Monaco,Total,Total,NaN
2012,Belgique,Total,Total,11094850
2012,Bulgarie,Total,Total,7327224
2012,Estonie,Total,Total,1325217
2012,France,Total,Total,65276983
2012,Italie,Total,Total,59394207
2012,Chypre,Total,Total,862011
2012,Lituanie,Total,Total,3003641
2012,Malte,Total,Total,417546
2012,Suisse,Total,Total,7954662
2012,Monaco,Total,Total,NaN
2013,Belgique,Total,Total,11161642
2013,Bulgarie,Total,Total,7284552
2013,Estonie,Total,Total,1320174
2013,France,Total,Total,65560721
2013,Italie,Total,Total,59685227
2013,Chypre,Total,Total,865878
2013,Lituanie,Total,Total,2971905
2013,Malte,Total,Total,421364
2013,Suisse,Total,Total,8039060
2013,Monaco,Total,Total,NaN
2014,Belgique,Total,Total,11203992
2014,Bulgarie,Total,Total,7245677
2014,Estonie,Total,Total,1315819
2014,France,Total,Total,65835579
2014,Italie,Total,Total,60782668
2014,Chypre,Total,Total,858000
2014,Lituanie,Total,Total,2943472
2014,Malte,Total,Total,425384
2014,Suisse,Total,Total,8139631
2014,Monaco,Total,Total,NaN
